time_s,x_m,y_m
0.000,-0.012,0.205
1.000,-0.044,0.370
2.000,-0.043,0.717
3.000,-0.063,1.174
4.000,-0.087,1.584
5.000,0.030,2.047
6.000,0.192,2.488
7.000,0.330,2.842
8.000,0.574,3.217
9.000,0.918,3.717
10.000,1.357,4.293
11.000,1.796,4.944
12.000,2.431,5.572
13.000,3.093,6.136
14.000,3.685,6.637
15.000,4.272,7.090
16.000,4.905,7.520
17.000,5.407,7.916
18.000,5.919,8.257
19.000,6.412,8.484
20.000,6.906,8.635
21.000,7.396,8.739
22.000,7.855,8.859
23.000,8.228,8.996
24.000,8.690,9.237
25.000,8.716,9.250
26.000,8.721,9.222
27.000,8.747,9.160
28.000,8.788,9.089
29.000,8.759,8.955
30.000,9.027,8.996
31.000,9.349,9.108
32.000,9.641,9.236
33.000,10.175,9.467
34.000,10.970,9.841
35.000,11.739,10.278
36.000,12.403,10.693
37.000,13.026,11.104
38.000,13.372,11.378
39.000,13.376,11.501
40.000,13.434,11.695
41.000,13.458,11.857
42.000,13.475,12.122
43.000,13.426,12.519
44.000,13.325,13.042
45.000,13.107,13.522
46.000,12.834,14.081
47.000,12.495,14.548
48.000,12.127,14.955
49.000,11.835,15.249
50.000,11.514,15.558
51.000,11.167,15.855
52.000,10.850,16.137
53.000,10.503,16.434
54.000,10.116,16.726
55.000,9.699,16.958
56.000,9.282,17.191
57.000,8.860,17.451
58.000,8.422,17.718
59.000,8.030,17.963
60.000,7.755,18.175
